date,site_id,local_site_name,county,state,site_latitude,site_longitude,station,station_name,daily_max_8hr_ozone,daily_aqi_ozone,daily_obs_count_ozone,percent_complete_ozone,ozone_poc,daily_mean_pm10,daily_aqi_pm10,daily_obs_count_pm10,percent_complete_pm10,pm10_poc,daily_mean_pm25,daily_aqi_pm25,daily_obs_count_pm25,percent_complete_pm25,pm25_poc,daily_max_1hr_no2,daily_aqi_no2,daily_obs_count_no2,percent_complete_no2,no2_poc,awnd,prcp,tmax,tmin,overall_aqi,poor_air_quality,year,month,day_of_week,is_weekend,season,dominant_pollutant
2024-01-15,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.036,33.0,17.0,100.0,1,12.0,11.0,1.0,100.0,3,4.25,26.0,2.0,100.0,"1,21",11.2,10.0,22.0,92.0,1,2.9,0.0,25.0,15.0,33.0,0,2024,1,Monday,0,Winter,Ozone
2024-01-16,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.035,32.0,17.0,100.0,1,22.0,20.0,1.0,100.0,3,6.0,36.0,3.0,100.0,"1,2,21",4.8,4.0,24.0,100.0,1,6.4,0.3,26.7,21.7,36.0,1,2024,1,Tuesday,0,Winter,PM2.5
2024-01-17,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.038,35.0,13.0,76.0,1,36.0,33.0,1.0,100.0,3,10.95,55.0,2.0,100.0,"1,21",8.6,8.0,24.0,100.0,1,3.3,0.0,27.2,19.4,55.0,1,2024,1,Wednesday,0,Winter,PM2.5
2024-01-18,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.029,27.0,17.0,100.0,1,23.0,21.0,1.0,100.0,3,7.449999999999999,45.0,2.0,100.0,"1,21",22.0,21.0,24.0,100.0,1,1.2,0.0,26.1,17.2,45.0,1,2024,1,Thursday,0,Winter,PM2.5
2024-01-19,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.017,16.0,17.0,100.0,1,11.0,10.0,1.0,100.0,3,4.5,37.0,3.0,100.0,"1,2,21",15.4,14.0,24.0,100.0,1,2.3,0.0,26.7,18.3,37.0,1,2024,1,Friday,0,Winter,PM2.5
2024-01-20,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.015,14.0,17.0,100.0,1,12.0,11.0,1.0,100.0,3,4.15,26.0,2.0,100.0,"1,21",9.0,8.0,24.0,100.0,1,1.9,0.0,26.7,20.0,26.0,0,2024,1,Saturday,1,Winter,PM2.5
2024-01-21,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.019,18.0,17.0,100.0,1,16.0,15.0,1.0,100.0,3,5.05,31.0,2.0,100.0,"1,21",9.4,8.0,24.0,100.0,1,2.2,0.0,25.6,20.6,31.0,0,2024,1,Sunday,1,Winter,PM2.5
2024-01-22,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.023,21.0,17.0,100.0,1,21.0,19.0,1.0,100.0,3,5.666666666666667,38.0,3.0,100.0,"1,2,21",5.6,5.0,22.0,92.0,1,4.3,0.3,26.7,20.6,38.0,1,2024,1,Monday,0,Winter,PM2.5
2024-01-23,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.023,21.0,17.0,100.0,1,18.0,17.0,1.0,100.0,3,5.3,32.0,2.0,100.0,"1,21",6.2,6.0,21.0,88.0,1,4.5,0.0,27.2,23.3,32.0,0,2024,1,Tuesday,0,Winter,PM2.5
2024-01-24,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.025,23.0,17.0,100.0,1,22.0,20.0,1.0,100.0,3,5.85,35.0,2.0,100.0,"1,21",9.1,8.0,24.0,100.0,1,5.7,0.5,27.2,21.1,35.0,0,2024,1,Wednesday,0,Winter,PM2.5
