model,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.9863945578231292,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.994017094017094
Decision Tree,0.9727891156462585,0.90625,0.9666666666666667,0.9354838709677419,0.9920227920227921
Support Vector Machine,0.9183673469387755,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.9763532763532764
Logistic Regression,0.8775510204081632,0.6578947368421053,0.8333333333333334,0.7352941176470589,0.9341880341880342
