day_type,is_weekend,days,mean_overall_aqi,median_overall_aqi,std_overall_aqi,min_overall_aqi,max_overall_aqi,poor_air_quality_days
Weekday,0,523,29.272,29.0,8.047,12.0,56.0,106
Weekend,1,208,29.736,29.0,7.275,13.0,52.0,44
