model,baseline_f1,smote_f1,f1_change_smote_minus_baseline,baseline_precision,smote_precision,precision_change_smote_minus_baseline,baseline_recall,smote_recall,recall_change_smote_minus_baseline
Logistic Regression,0.7352941176470589,0.7575757575757576,0.022281639928698693,0.6578947368421053,0.6944444444444444,0.03654970760233911,0.8333333333333334,0.8333333333333334,0.0
Support Vector Machine,0.8235294117647058,0.8059701492537313,-0.017559262510974505,0.7368421052631579,0.7297297297297297,-0.007112375533428139,0.9333333333333333,0.9,-0.033333333333333326
Decision Tree,0.9354838709677419,0.8923076923076924,-0.043176178660049525,0.90625,0.8285714285714286,-0.07767857142857137,0.9666666666666667,0.9666666666666667,0.0
Random Forest,0.9666666666666667,0.90625,-0.060416666666666674,0.9666666666666667,0.8529411764705882,-0.11372549019607847,0.9666666666666667,0.9666666666666667,0.0
