model,approach,accuracy,precision,recall,f1_score,roc_auc
Random Forest,Baseline class-weighted,0.9863945578231292,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.994017094017094
Decision Tree,Baseline class-weighted,0.9727891156462585,0.90625,0.9666666666666667,0.9354838709677419,0.9920227920227921
Random Forest,SMOTE training only,0.9591836734693877,0.8529411764705882,0.9666666666666667,0.90625,0.9923076923076923
Decision Tree,SMOTE training only,0.9523809523809523,0.8285714285714286,0.9666666666666667,0.8923076923076924,0.9876068376068377
Support Vector Machine,Baseline class-weighted,0.9183673469387755,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.9763532763532764
Support Vector Machine,SMOTE training only,0.9115646258503401,0.7297297297297297,0.9,0.8059701492537313,0.9592592592592593
Logistic Regression,SMOTE training only,0.891156462585034,0.6944444444444444,0.8333333333333334,0.7575757575757576,0.935042735042735
Logistic Regression,Baseline class-weighted,0.8775510204081632,0.6578947368421053,0.8333333333333334,0.7352941176470589,0.9341880341880342
