season,days,mean_overall_aqi,median_overall_aqi,std_overall_aqi,min_overall_aqi,max_overall_aqi,poor_air_quality_days
Winter,181,33.188,33.0,7.887,14.0,55.0,69
Spring,184,32.636,32.0,6.308,19.0,56.0,48
Summer,184,24.935,23.0,6.995,12.0,52.0,13
Fall,182,26.89,26.0,6.656,13.0,49.0,20
