model,approach,accuracy,precision,recall,f1_score,roc_auc
Random Forest,SMOTE training only,0.9591836734693877,0.8529411764705882,0.9666666666666667,0.90625,0.9923076923076923
Decision Tree,SMOTE training only,0.9523809523809523,0.8285714285714286,0.9666666666666667,0.8923076923076924,0.9876068376068377
Support Vector Machine,SMOTE training only,0.9115646258503401,0.7297297297297297,0.9,0.8059701492537313,0.9592592592592593
Logistic Regression,SMOTE training only,0.891156462585034,0.6944444444444444,0.8333333333333334,0.7575757575757576,0.935042735042735
