feature,importance
daily_max_8hr_ozone,0.32698945439911187
daily_mean_pm25,0.2692915789846289
daily_mean_pm10,0.10920835641878068
tmax,0.09124153237413359
month,0.07807957669878633
tmin,0.04396237238271158
daily_max_1hr_no2,0.0372487893428643
awnd,0.029170743050781815
prcp,0.012187789951529355
is_weekend,0.002619806396671541
